"","comparison","JI"
"696","20-32",0.5
"697","20-33",0
"698","20-34",0
"699","20-35",0.25
"700","20-36",0
"701","20-37",0
"702","20-38",0.25
"703","20-39",0.5
"704","20-40",0.2
"705","20-41",0.4
"706","20-42",0
"707","20-43",0.5
"708","20-44",0.2
"709","20-45",0.333333333333333
"710","20-46",0
"711","21-22",0
"712","21-23",0.5
"713","21-24",0.25
"714","21-25",0.5
"715","21-26",0.666666666666667
"716","21-27",0.4
"717","21-28",0
"718","21-29",0.75
"719","21-30",0.25
"720","21-31",0.333333333333333
"721","21-32",0.166666666666667
"722","21-33",1
"723","21-34",0.25
"724","21-35",0.5
"725","21-36",0.666666666666667
"726","21-37",0.333333333333333
"727","21-38",0.5
"728","21-39",0
"729","21-40",0.4
"730","21-41",0.333333333333333
"731","21-42",0.5
"732","21-43",0.166666666666667
"733","21-44",0.4
"734","21-45",0
"735","21-46",0.25
"736","22-23",0
"737","22-24",0.5
"738","22-25",0
"739","22-26",0
"740","22-27",0.25
"741","22-28",0.333333333333333
"742","22-29",0
"743","22-30",0
"744","22-31",0
"745","22-32",0.25
"746","22-33",0
"747","22-34",0.5
"748","22-35",0
"749","22-36",0
"750","22-37",0
"751","22-38",0
"752","22-39",0
"753","22-40",0.25
"754","22-41",0.2
"755","22-42",0.333333333333333
"756","22-43",0.25
"757","22-44",0.25
"758","22-45",0.5
"759","22-46",0.5
"760","23-24",0.25
"761","23-25",0.5
"762","23-26",0.666666666666667
"763","23-27",0.4
"764","23-28",0.2
"765","23-29",0.4
"766","23-30",0.25
"767","23-31",0.333333333333333
"768","23-32",0.4
"769","23-33",0.5
"770","23-34",0
"771","23-35",0.5
"772","23-36",0.25
"773","23-37",0
"774","23-38",0.2
"775","23-39",0.333333333333333
"776","23-40",0.4
"777","23-41",0.333333333333333
"778","23-42",0.2
"779","23-43",0.166666666666667
"780","23-44",0.166666666666667
"781","23-45",0
"782","23-46",0
"783","24-25",0.25
"784","24-26",0.333333333333333
"785","24-27",0.2
"786","24-28",0.25
"787","24-29",0.2
"788","24-30",0
"789","24-31",0.5
"790","24-32",0.2
"791","24-33",0.25
"792","24-34",0.333333333333333
"793","24-35",0.25
"794","24-36",0
"795","24-37",0
"796","24-38",0
"797","24-39",0
"798","24-40",0.5
"799","24-41",0.166666666666667
"800","24-42",0.25
"801","24-43",0.2
"802","24-44",0.5
"803","24-45",0.333333333333333
"804","24-46",0.333333333333333
"805","25-26",0.666666666666667
"806","25-27",0.166666666666667
"807","25-28",0.2
"808","25-29",0.75
"809","25-30",0.666666666666667
"810","25-31",0.333333333333333
"811","25-32",0.4
"812","25-33",0.5
"813","25-34",0
"814","25-35",1
"815","25-36",0.25
"816","25-37",0
"817","25-38",0.5
"818","25-39",0
"819","25-40",0.166666666666667
"820","25-41",0.333333333333333
"821","25-42",0.2
"822","25-43",0.166666666666667
"823","25-44",0.4
"824","25-45",0.25
"825","25-46",0
"826","26-27",0.2
"827","26-28",0
"828","26-29",0.5
"829","26-30",0.333333333333333
"830","26-31",0.5
"831","26-32",0.2
"832","26-33",0.666666666666667
"833","26-34",0
"834","26-35",0.666666666666667
"835","26-36",0.333333333333333
"836","26-37",0
"837","26-38",0.25
"838","26-39",0
"839","26-40",0.2
"840","26-41",0.166666666666667
"841","26-42",0.25
"842","26-43",0
"843","26-44",0.2
"844","26-45",0
"845","26-46",0
"846","27-28",0.4
"847","27-29",0.333333333333333
"848","27-30",0.2
"849","27-31",0
"850","27-32",0.6
"851","27-33",0.4
"852","27-34",0.5
